No.,SiglaProyecto,NombreProyecto,NombreEstacionPeaje,2016Ene,2016Feb,2016Mar,2016Abr,2016May,2016Jun,2016Jul,2016Ago,2016Sep,2016Oct,2016Nov,2016Dic,2017Ene,2017Feb,2017Mar,2017Abr,2017May,2017Jun,2017Jul,2017Ago,2017Sep,2017Oct,2017Nov,2017Dic,2018Ene,2018Feb,2018Mar,2018Abr,2018May,2018Jun,2018Jul,2018Ago,2018Sept,2018Oct,2018Nov,2018Dic
12,BV,BOGOTÁ - VILLAVICENCIO,NARANJAL,6151722300,5060256600,5414160600,4787062400,4757354600,4686506700,4450845900,4923661000,4778198800,4948709500,4876931300,5620365000,5614381700,4431196700,5142887900,5161596100,4796724000,4763385500,4907730500,5231339300,4872098200,5221254300,5089617700,5966037200,5846016700,4148017200,5174756700,4763734700,4568986800,4794435700,4804665900,4102835900,4277302600,5158328700,5119970000,5920576500
13,BV,BOGOTÁ - VILLAVICENCIO,PIPIRAL,8372611900,6619738600,7234529200,6196049300,6285601600,6273832600,6118412800,6586463900,6369893100,6809738000,6670045700,7830049400,7947097400,6027843200,7043825700,7222426400,6622541700,6590708400,6757223900,7236455600,6674712800,7266656300,7073070600,8502040800,8434691000,5799501200,7417723200,6778766000,6459047100,6855322900,6813163200,5837177400,6116060100,7444170500,7421157900,8611663500
14,CB,CARTAGENA-BARRANQUILLA,MARAHUACO,1360247800,1119857700,1254757105,1027319100,1107914600,1134948800,1287230300,1194285500,1074857000,1209087500,1154353000,1409644600,1604925800,1297685000,1298239600,1355638600,1168034200,1308688300,1409359600,1287930300,1257138300,1434037300,1272099100,1531198900,1697954400,1368183100,1574193200,1361276500,1282236400,1381678100,1551745100,1478232100,1318668800,1454829300,1437096000,1765275600
15,CB,CARTAGENA-BARRANQUILLA,PAPIROS,254689200,292430000,296898700,342115100,325282100,290663500,240833600,289476500,320099800,266292800,218826300,215590600,241938300,215865000,302737300,257696900,273345500,254907900,219897100,225192700,285399100,315842600,334689800,297512300,281343700,284232500,349278600,512236200,546659200,414212000,462603000,517189500,450919200,482776500,452290800,403928100
16,CB,CARTAGENA-BARRANQUILLA,PUERTO COLOMBIA,2146704600,1666969800,1987465300,1592873600,1837900900,1770839800,2073798500,1857524100,1687647500,1808628200,1690581800,2211522700,2516824800,1973095500,2099465700,2197674600,1867987000,2148617400,2257298600,2070234600,1919977300,2214439800,2060998000,2417176500,2473418300,1970802800,2403180400,2042297700,1967619000,2276672400,2551952400,2400760900,2152449100,2343183900,2401582000,2763932200
17,DVN,DESARROLLO VIAL DEL NORTE DE BOGOTÁ,ANDES,9341236050,9225758450,9642000100,9415170700,9716389200,9432692900,9328062400,10124754700,10043278500,10282978900,10078784000,11289089550,10282652200,9721834100,10595682000,10235129800,10646481600,10594031200,10830009500,11118015000,10668350600,11089080700,10814534500,0,0,0,0,0,0,0,0,0,0,0,0,0
18,DVN,DESARROLLO VIAL DEL NORTE DE BOGOTÁ,FUSCA,690110300,793955100,816152300,863914800,887532000,794106000,733383700,853357900,892875200,854110200,867401500,879384800,735601500,885481400,1001671200,857421900,898013000,807393700,766153987,905322200,851966900,842269800,866421600,0,0,0,0,0,0,0,0,0,0,0,0,0
19,DVN,DESARROLLO VIAL DEL NORTE DE BOGOTÁ,UNISABANA,242948100,276457900,294362000,272935000,246158500,215512900,221663900,288611000,205700900,227013800,248117400,260188600,239266200,242626200,246624600,230210800,258539800,254195600,257840200,267898000,261798200,270894200,270830000,0,0,0,0,0,0,0,0,0,0,0,0,0
20,DVM,DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN,COCORNA,2881114300,2202890300,2525151600,2179348900,2311119100,2241534300,2075454500,2659718200,2332188600,2594435300,2616115400,2995828600,3056164100,2518718400,2666404200,2780284500,2724550300,2880396000,2967331700,3022298800,2714200700,2978141400,2986200300,3379519800,3688295900,2777453500,3150096600,2954775000,2842038700,3058124300,3225318900,3251137300,0,0,0,0
21,DVM,DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN,GUARNE,9101842100,7656559900,8433963600,7765660000,8359895300,8125945900,7880164700,9066145900,8251193800,7678974400,7253507600,8306219100,3646261000,8013834600,8766227400,8827077200,8992837500,9099981800,9669897200,9614897200,8889648000,9300313600,9382159500,10415413400,10725265200,9008453200,10061257800,9608647200,9756123700,10224871200,10648860000,10752452200,10022595700,10505361800,10413150300,11713169300
22,DVM,DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN,LAS PALMAS,2169139600,2069371300,2212855600,2073356300,2234760700,2187414400,2302155100,2294727200,2194619500,2378790800,2389195200,2678947000,3082409700,2269321300,2421020100,2387348000,2460498800,2406328900,2520789900,2540439500,2365589700,2479917900,2498381800,2785852100,2564814100,2384960200,2666352800,2603061900,2656346000,2651667300,2754044300,2878109500,2758373000,2729115900,2787881700,3033447900
23,DVM,DESARROLLO VIAL DEL ORIENTE DE MEDELLÍN,PTO TRIUNFO,2695219500,2042833600,2399290600,2021991400,2101831200,2113499600,1992158100,2435946700,2112837000,2299708800,2312439200,2678463600,2816312000,2229883300,2366873100,2479053000,2395033900,2544746900,2589048300,2620958300,2384992800,2619050500,2579592400,2991380100,3249990800,2472048400,2766351200,2650765400,2561002400,2710874800,2834697000,2901467200,0,0,0,0
24,FFA,FONTIBÓN - FACATATIVÁ - LOS ALPES,CORZO,2511709000,2267016000,2338730700,2276830300,2355862100,2278792600,2214267200,2443266600,2347396300,2460320800,2338463600,2473830200,2593491000,2319924700,2524187200,2448345200,2529877800,2484071500,2601978700,2542840800,2401209400,2545815900,2457966100,2590559700,2691786700,2345311200,2619390200,2325533500,2585954650,2554891000,2742124100,2684811300,2626786600,2758442600,2676401500,2799657500
25,FFA,FONTIBÓN - FACATATIVÁ - LOS ALPES,RIO BOGOTA,4961509200,4982415900,5115309000,4990199900,5063535000,4969581400,4883636400,5182408000,4962313700,5066872100,4916755200,5393722300,5077110100,4882660900,5459294200,5296282400,5393692800,5332181100,5495908200,5484293700,5230989100,5465271000,5412315900,5912242700,5436792500,5202437300,5791713000,5182971400,5902206200,5882285500,5961525800,6082898900,5908303800,6202894400,6056332300,6569046900
26,MVM,MALLA VIAL DEL META,IRACA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,MVM,MALLA VIAL DEL META,LA LIBERTAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,MVM,MALLA VIAL DEL META,OCOA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,MVM,MALLA VIAL DEL META,PUENTE AMARILLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,MVM,MALLA VIAL DEL META,VERACRUZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,NEG,NEIVA - ESPINAL - GIRARDOT,EL PATA,1651865050,1229394650,1495216700,1356368700,1390284700,530533200,1500580100,1544422750,1371321200,1515203600,1479848700,1776403350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,NEG,NEIVA - ESPINAL - GIRARDOT,FLANDES,2518146050,1821844500,2156705350,1842479200,2052641800,770073000,2409992300,2204147100,1990727200,2159697000,2001630150,2478923850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,NEG,NEIVA - ESPINAL - GIRARDOT,NEIVA,2001079550,1557645900,1790635900,1641735000,1779634100,657509100,1840742500,1895569350,1777273900,1944191550,1895418400,2179109650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,SMP,SANTA MARTA-RIOHACHA-PARAGUACHÓN,ALTO PINO,711399300,658404800,742849600,700097200,840477200,775326500,779730000,764325800,729998300,772537000,821051400,938535100,854625100,787179300,909125900,855524700,1032711600,936704200,1037302800,1027317400,949416200,1011560700,905728600,1116498900,1040235000,901487100,1047426700,999982600,994672300,958756300,1015934600,991399700,961139300,952158600,955777300,1225961600
35,SMP,SANTA MARTA-RIOHACHA-PARAGUACHÓN,EL EBANAL,972600100,858374200,941490400,840841000,675639000,886071200,993208200,946422700,989306400,1072414000,1023181300,1019854000,1110319000,952529800,972622100,967384800,887523400,982205300,1084802800,1003345100,991985100,1102680000,1001695300,1132678500,1198880900,897627800,1155614000,1082794100,1004509700,1008735400,1125666800,1090870000,1062846900,1084991300,1005482900,1190715700
36,SMP,SANTA MARTA-RIOHACHA-PARAGUACHÓN,NEGUANJE,1506060500,1028074100,1309454800,1044905200,1028635600,1091088800,1094996000,1153804800,1061121100,1109666100,1162340400,1337612500,1674184900,1147453100,1259993000,1306100700,1270918500,1284357600,1460220500,1227180800,1137648000,1428481000,1359347200,1603521100,1913133300,1256051800,1653135600,1469468900,1409320300,1481512800,1788723200,1767100500,1553205700,1593510900,1607886900,1785898100
37,SMP,SANTA MARTA-RIOHACHA-PARAGUACHÓN,PARAGUACHON,186677300,190979600,223190100,216528000,231410200,231314700,291797000,321863000,354995400,398752800,412637000,451896000,459007000,431943900,454939800,427687100,438019300,447881800,545389400,613512600,564302600,621009800,592278500,724315300,642321300,499952000,440557400,457249300,418981000,401325600,481556200,471584600,482367500,508015500,510857900,697267200
38,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,CENCAR,1690937300,1720211300,1733638300,1641204000,1708811800,1724369600,1759445000,1827360000,1705936950,1742333500,1698401000,1922898400,1727875500,1716461200,1836195200,1729829700,1844000300,1861546300,1859487900,1915259900,1757874700,1759941800,1756159600,2011450800,1792267800,1702298900,1850722700,1846570200,1967377000,1983673500,2056184600,2135398700,2051436500,2146739700,0,0
39,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,CERRITO,4773608400,4091217200,4701930400,4079244350,4199866600,4077622300,4406528700,4828081900,4323314500,4543596500,4423385300,5086835700,4967386200,4348695800,4658388500,4872715600,4340840800,4654536500,5196336800,5246041400,4815558600,4940158400,4733992200,5565322900,5435573600,4577786300,5360112100,5014875300,4844092300,5135969600,5476909700,5515725500,5180729300,5414942800,0,0
40,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,CIAT,2226479650,2115899600,2254341200,2181987600,2284038900,2265038800,2430063100,2477328200,2336541000,2410318200,2375718100,2729016900,2594058900,2378669000,2577830200,2458036900,2658571420,2578916300,2747982600,2745261500,2557455200,2596735300,2579101900,3053687900,2762069500,2536016300,2716234400,2713239800,2805829900,2798393300,2924671500,2991994800,2858552900,2955686500,0,0
41,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,ESTAMBUL,3152839800,3044381500,3252544650,3157865200,3333523200,3403417900,3709003500,3579658700,3347755200,3497736600,3502383500,3973402900,3682356400,3322669400,3696703800,3565013800,3693053600,3717943700,3967965200,3873777200,3464762600,3483861100,3537194200,4147623600,3797149000,3499018400,3893755600,3698563500,3831154200,3806070700,4041849000,4044948900,3821469900,4006129100,0,0
42,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,MEDIACANOA,3327483100,2997275200,3275832100,3093007700,3255562700,2847849100,2835463500,3600457600,3237212700,3436143200,3377923000,3378960400,3415977300,3142910400,3350933800,3330294300,2944960100,3412703000,3596779500,3382978100,3229057700,3356092500,3423605700,3402845100,3484480200,3224558200,3444116600,3399880600,3358997900,3353897900,3547452100,3704075700,3407258100,3579189900,0,0
43,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,PASO DE LA TORRE,314369500,313712000,338816400,315438000,355823300,348573200,426460800,366722200,388232600,397802500,360679700,427903100,382332900,378850600,389335100,388622300,390505000,399887000,457830300,398408600,405826200,452592600,444984100,494689100,465461300,462022300,499995200,551514600,470090200,473722600,468112600,481942000,450834500,494548200,0,0
44,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,ROZO,974653400,831984700,942696600,849852300,920097200,930049300,1066087600,981119000,904634700,951523600,935507700,1076772400,1050381500,886527400,999404100,1018701800,996169500,1017956400,1085042000,1060977900,973641100,1021876900,1034617700,1181409800,1125549400,943389600,1083721700,1034939500,1010033600,1043173100,1126084100,1108952900,1032416300,1098654200,0,0
45,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,TUNIA,2281270900,1967118300,2305675800,1988033000,2111622100,1358423100,2040237900,2430319800,2113931150,2209695700,2231469450,2503449600,2488709950,2047484100,2188276350,2377006000,2209181000,2341211100,2544124600,2493916400,2306203500,2333679750,2065749300,2715139700,2706814200,2186328400,2611886750,2445795550,2381986600,2457925500,2696347300,2640026200,2456653400,2613248400,0,0
46,MVC,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,VILLARICA,2937552600,2640579300,3028157900,2617425900,2807074300,2185010300,2890892300,3233775000,2989799500,2994296700,3067280700,3352821200,3319521400,2830877800,2998653600,3109241900,2965079800,3115072800,3455616600,3386501400,3177820300,3229166200,2827641150,3649452950,3569589100,2982301500,3628838700,3363717300,3318184200,3393585400,3716513300,3632112600,3472156700,3658232900,0,0
47,AMC,ÁREA METROPOLITANA DE CÚCUTA Y NORTE DE SANTANDER,EL ESCOBAL,31516000,35249000,35502000,38948000,38025000,35196000,38375200,41066000,43929200,43372000,41777350,47241000,40087500,41714300,48830950,42592000,43873500,40989100,45020100,46841100,46768000,48139400,47419100,51503200,42268700,46380000,48632500,50210200,50233700,46826000,49920600,53726000,51338200,52761200,51385000,58381000
48,AMC,ÁREA METROPOLITANA DE CÚCUTA Y NORTE DE SANTANDER,LA PARADA,403208150,428755300,441131800,460244100,462278000,426801700,451820650,474419650,488111100,474889250,455971150,495201600,437214050,451620500,508070250,444994300,484992300,453421150,481984850,506928050,503683400,491163750,495470800,531263450,473183250,497570250,520871850,532405850,541808500,500515500,526882750,554791000,564212350,562431800,542384500,577241800
49,AMC,ÁREA METROPOLITANA DE CÚCUTA Y NORTE DE SANTANDER,LOS ACACIOS,1267693550,1087644100,1272424450,1115880600,1223572200,1148420200,1176423350,1294630350,1146350050,1239351500,1176485100,1294463650,1334227300,1136237150,1230218050,1329877600,1283757850,1300072300,1361313100,1369906450,1258617000,1388879100,1343525500,1432306700,1502644550,1173914800,1467338500,1333516100,1325193300,1407827250,1518446800,1552884800,1418386600,1428226700,1385363700,1614721200
50,BGG,BOGOTÁ (BOSA) - GRANADA - GIRARDOT S.A.,CHINAUTA,8831598750,6323774950,7684520050,6412708250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,BGG,BOGOTÁ (BOSA) - GRANADA - GIRARDOT S.A.,CHUSACA,10212231400,7494900050,9080923950,7653077300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,BTS,BRICEÑO - TUNJA - SOGAMOSO,ALBARRACIN,3441440200,2654732550,3333470000,2660926350,3043249950,2723498700,2450402650,3211851900,2830068250,3183902950,3024431200,4008517050,3734202700,2916730050,3195804850,3457976700,3253392850,3329043050,3521676000,3519567750,3066443050,3508570350,3390989350,4621163150,4166305550,3050097750,3795024050,3276038050,3402289100,3752587200,3915513800,3957627650,3556600750,3947597000,3906217550,5244128600
53,BTS,BRICEÑO - TUNJA - SOGAMOSO,EL ROBLE,4794447100,3770661800,4631296350,3763046950,4237666550,3919023250,3730474700,4378054450,3941526800,4435054550,4267193300,5364564200,5205552350,4065230200,4453022150,4819162350,4535709900,4639179350,4915089150,4849133550,4287092800,4891252500,4718687150,6125827150,5709170400,4302392000,5371967800,4654001500,4834147650,5180678700,5428986950,5454029600,4976669050,5452719500,5424347650,6958094150
54,BTS,BRICEÑO - TUNJA - SOGAMOSO,TUTA,3607602450,3028308850,3487426750,3072710950,3322622800,3009448600,2421732450,3504303700,3205362250,3472621250,3349683200,4060452300,3832318000,3272603250,3579228000,3613223750,3604455450,3610753500,3774607150,3729970500,3483741950,3827347600,3743580650,4568266900,4342322050,3501283150,3986007200,3722909750,3880672950,4010818850,4208486000,4247865100,4037116050,4337500050,4274456100,5158733200
55,CS,CÓRDOBA - SUCRE,LA ESPERANZA,0,0,0,434229600,996268400,958425600,1004796700,1071969000,981419100,986377300,953430900,1074369400,1201081000,926191500,1076782200,1175011900,1102115300,1078301900,1100902300,1105345300,1118232000,1150153100,1087461100,1236909900,1389641000,1059719600,1228635800,1182478600,1108587900,970336100,1214735900,1181935200,1110998900,1197968700,1174806900,1330066500
56,CS,CÓRDOBA - SUCRE,LA ESPERANZA 1,0,0,0,0,0,0,513502700,552163000,506880900,516234700,496971500,568998500,687179800,485703000,577710800,611748900,564314000,563559900,577758800,577113300,586747400,601672200,569376000,641366400,733340400,551045600,642197600,617458300,577638900,487930600,637164500,624303700,585904100,633207200,620858800,694054700
57,CS,CÓRDOBA - SUCRE,LA ESPERANZA 2,0,0,0,0,0,0,491294000,519806000,474538200,470142600,456459400,505370900,513901200,440488500,499071400,563263000,537801300,514742000,523143500,528232000,531484600,548480900,518085100,595543500,656300600,508674000,586438200,565020300,530949000,482405500,577571400,557631500,525094800,564761500,553948100,636011800
58,CS,CÓRDOBA - SUCRE,LAS FLORES,1697474500,1504194600,1627858200,1534592800,1559250200,1532800100,1590034000,1920840500,1866478600,1932590600,1888657200,2095298000,1978579200,1724084100,1904741500,1815148200,1875416100,1856805800,1915903400,1916819500,1885763400,1935399500,1943581000,2141535800,2035837600,1761995200,1960265200,1924229300,1856112100,1741102500,1944515900,1984791600,1921358800,2006963600,1952336300,2189068500
59,CS,CÓRDOBA - SUCRE,LAS FLORES 1,0,0,0,0,0,0,799228300,965840700,940473700,968892500,943267100,1039618200,992148800,864537400,954808100,909902500,940787000,933196400,960967600,966250700,953172700,974830400,978341700,1072438600,1026337900,886732600,974208400,974160600,928158100,877114700,979408200,999273800,968995000,1009908400,979541500,1098536100
60,CS,CÓRDOBA - SUCRE,LAS FLORES 2,0,0,0,0,0,0,790805700,954999800,926004900,963698100,945390100,1055679800,986430400,859546700,949933400,905245700,934629100,923609400,954935800,950568800,932590700,960569100,965239300,1069097200,1009499700,875262600,986056800,950068700,927954000,863987800,965107700,985517800,952363800,997055200,972794800,1090532400
61,CS,CÓRDOBA - SUCRE,LOS GARZONES 1 Y LOS GARZONES 2,2123530400,1842983900,2046876500,1870379500,1965232200,1998127300,2062744000,2247616700,2163209900,2224789300,2183895700,2402543800,2344087100,2044916000,2280191300,2208017100,2202263700,2207306300,2316655300,2409301850,2230823700,2260215800,2231669900,2418720300,2362288700,2064390800,2314014100,2220210600,2276341300,2264832300,2350217100,2357623400,2257823200,2418556400,2296373800,2545314300
62,CS,CÓRDOBA - SUCRE,LOS GARZONES 1,0,0,0,0,0,0,979603800,1077476900,1034875200,1060654900,1033553300,1162431700,1108967700,968943600,1073758500,1048877900,1033285200,1036545200,1084268000,1134616750,1056022400,1069363000,1055073400,1168902400,1119018300,975711800,1108379200,1041107000,1070888800,1070780900,1111978300,1117800400,1060675200,1132690000,1076591000,1219189800
63,CS,CÓRDOBA - SUCRE,LOS GARZONES 2,0,0,0,0,0,0,1083140200,1170139800,1128334700,1164134400,1150342400,1240112100,1235119400,1075972400,1206432800,1159139200,1168978500,1170761100,1232387300,1274685100,1174801300,1190852800,1176596500,1249817900,1243270400,1088679000,1205634900,1179103600,1205452500,1194051400,1238238800,1239823000,1197148000,1285866400,1219782800,1326124500
64,GIC,GIRARDOT - IBAGUÉ - CAJAMARCA,CHICORAL,4492516100,3528111300,4142130800,3697413700,3878943800,3716781400,3851899800,4418117500,3882814800,4161309000,4072525900,4693205000,4714147700,3712510100,4061357400,4388660100,3715486300,4509755900,4757393800,4483207200,4246974600,4598454700,4240696200,4949980200,4965866600,3844234900,4428022600,4154992500,4188668200,4500787000,4709402800,4689292100,4357142800,4843490400,4622467200,5124708100
65,GIC,GIRARDOT - IBAGUÉ - CAJAMARCA,GUALANDAY,5788331300,4718780100,5518160600,5067527150,5234249600,5019710350,5110514700,5771383400,5228181300,5575126150,5416282000,6169367700,6133805000,4966076000,5415023100,5666662100,5109976400,5861398500,6082154100,5838842500,5614300000,5949070600,5694743050,6576546900,6546187400,5220356200,5925743250,5584007500,5646513900,5936835600,6139896500,6016669900,5633204800,6245807200,6017040700,6624293800
66,PL,PEREIRA - LA VICTORIA,CERRITOS II,4714358000,4097020700,4586220300,4119695600,4349791600,3984680800,4249902900,4954975000,4413753300,4588172300,4513560600,5058957200,5022918800,4209239700,4550748400,4642371300,4437923000,4745640000,4961672400,4915822800,4524543300,4800028500,4788213700,5379759700,5175572200,3895081700,4445654500,4401721150,4416009600,4470376800,4848675600,4890020600,4466797900,4756155700,4677686050,5280333750
67,RPC,RUMICHACA - PASTO - CHACHAGUI,CANO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,RPC,RUMICHACA - PASTO - CHACHAGUI,DAZA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,RPC,RUMICHACA - PASTO - CHACHAGUI,EL PLACER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,RC,RUTA CARIBE,BAYUNCA,1343467100,1305052500,1438935400,1371641100,1301597700,1333453700,1315090700,1415666800,1390403100,1395447200,1376007000,1520075300,1455825650,1424140100,1526996900,1435524900,1460024100,1461319200,1467725400,1553339500,1423128800,1440317800,1388133400,1449530550,1417575100,1369770800,1488487700,1506797400,1461157200,1398270100,1440023300,1440085400,1380306600,1484881100,1416189100,1545802200
71,RC,RUTA CARIBE,GALAPA,2143339600,2016773500,2212686700,2047208700,2062395500,2008626900,2053881000,2088896100,2022139200,2068814200,2049153900,2263443700,2131275300,2010671800,2291416500,2133969500,2155441600,2133416200,2280698700,2342963300,2157705500,2213953800,2241458500,2360279600,2277150900,2072462700,2401524900,2321275000,2302366300,2219262100,2311715300,2402966700,2287948700,2312571100,2257300500,2401332900
72,RC,RUTA CARIBE,GAMBOTE,2298101400,1999879700,2145944250,1939218100,1874052400,1809418500,1779378200,2022578800,1857175400,1897802600,1891097500,2101467300,2206714000,1805802400,2028825000,2107112800,2019528900,2088403500,2111623300,2051477200,1970322700,2051505100,2025524700,2285875000,2399195600,1967943500,2289839300,2180232600,2101520600,2114718600,2214903000,2240146400,2134612800,2262376350,2157495500,2430658600
